Instance,PopulationSize,Generation,BestFitness
eil51,20,2000,563.1818428876915
eil51,20,5000,533.6892381538258
eil51,20,10000,530.6720334501888
eil51,20,20000,505.04138128196877
eil76,20,2000,1002.2625189464492
eil76,20,5000,866.9117603218857
eil76,20,10000,802.4061294673526
eil76,20,20000,800.1600065407375
eil101,20,2000,1461.3814837020634
eil101,20,5000,1114.0731211512286
eil101,20,10000,976.4136927880571
eil101,20,20000,936.3653250788301
st70,20,2000,1291.6690407238705
st70,20,5000,1083.2597828417402
st70,20,10000,954.566791571514
st70,20,20000,954.566791571514
kroA100,20,2000,66070.2225677973
kroA100,20,5000,56165.48749143662
kroA100,20,10000,52377.02106630697
kroA100,20,20000,48926.15725380548
kroC100,20,2000,64586.434258895446
kroC100,20,5000,49757.713372609025
kroC100,20,10000,44538.2540806778
kroC100,20,20000,40750.08324668335
kroD100,20,2000,59985.25818182364
kroD100,20,5000,50383.20717025941
kroD100,20,10000,42925.4657015104
kroD100,20,20000,41100.95391513426
lin105,20,2000,41308.9882667924
lin105,20,5000,35912.82368213029
lin105,20,10000,33910.8909585619
lin105,20,20000,32070.912876443534
pcb442,20,2000,444585.7646597201
pcb442,20,5000,367532.15830101393
pcb442,20,10000,307709.08307478076
pcb442,20,20000,259470.1681752411
pr2392,20,2000,12065204.97656037
pr2392,20,5000,10422130.983702058
pr2392,20,10000,9159276.697905088
pr2392,20,20000,7922288.728654354
eil51,50,2000,586.5927312346223
eil51,50,5000,567.0327314472802
eil51,50,10000,539.8982365011699
eil51,50,20000,536.2461041205964
eil76,50,2000,1035.0656794130714
eil76,50,5000,793.3263730539352
eil76,50,10000,762.3622262156347
eil76,50,20000,716.4105982920474
eil101,50,2000,1428.088015573438
eil101,50,5000,1136.584278843574
eil101,50,10000,1035.5921703435524
eil101,50,20000,992.8513364341492
st70,50,2000,1295.0207638287357
st70,50,5000,1004.7738770237055
st70,50,10000,980.4495043380198
st70,50,20000,966.4352708767043
kroA100,50,2000,61288.36082798546
kroA100,50,5000,49712.11990126157
kroA100,50,10000,43790.44535263543
kroA100,50,20000,39923.55016200974
kroC100,50,2000,61933.28441397948
kroC100,50,5000,48955.455629884156
kroC100,50,10000,44465.026600430974
kroC100,50,20000,40741.48393928729
kroD100,50,2000,57703.870141347885
kroD100,50,5000,46053.803638851954
kroD100,50,10000,41312.113002524944
kroD100,50,20000,40789.101816234834
lin105,50,2000,41170.935255089484
lin105,50,5000,31744.24176341793
lin105,50,10000,29016.131309876233
lin105,50,20000,26184.15368126005
pcb442,50,2000,494131.811334578
pcb442,50,5000,433961.3898262526
pcb442,50,10000,371571.302239707
pcb442,50,20000,318444.2147689907
pr2392,50,2000,12467224.254737314
pr2392,50,5000,11293445.22475848
eil51,100,2000,569.6879371462528
eil51,100,5000,548.4859489128462
eil51,100,10000,523.0657476012361
eil51,100,20000,513.6034324672118
eil76,100,2000,985.1350921338467
eil76,100,5000,753.0773420662902
eil76,100,10000,724.0949150761622
eil76,100,20000,680.0782853345956
eil101,100,2000,1367.5540810105505
eil101,100,5000,1087.1320218482174
eil101,100,10000,991.0625200293578
eil101,100,20000,950.6410332696907
st70,100,2000,1276.4542214551124
st70,100,5000,986.1520297636437
st70,100,10000,948.2675521046657
st70,100,20000,940.3012655138823
kroA100,100,2000,58824.540352651915
kroA100,100,5000,47796.48565814219
kroA100,100,10000,44624.61297948741
kroA100,100,20000,40736.38922036178
kroC100,100,2000,60164.17036271786
kroC100,100,5000,42429.35557401246
kroC100,100,10000,37688.48503710324
kroC100,100,20000,34522.17830455452
kroD100,100,2000,59005.02194816361
kroD100,100,5000,38428.85584576217
kroD100,100,10000,35010.99178857366
kroD100,100,20000,34562.77197400416
lin105,100,2000,40127.67840043003
lin105,100,5000,30933.20565981878
lin105,100,10000,28314.7705731135
lin105,100,20000,25587.5741532489
pcb442,100,2000,475032.38591900234
